amountRaised,campaignTitle,currencyType,endDate,goal,numberContributors,story,url
"1,768,544",American Gut,,,,,"Our offices will be closed for the holidays from December
      22nd, 2018 to January 1st, 2019 . Orders made during this time will be shipped out when the
    campus reopens on January 2nd, 2019. Please do not send any samples back
      during this time as your sample will be held up in the university
      mailing system until we return, which will affect your sample
      quality.  If you are sending your sample the week prior to
      December 22nd, please make sure it will arrive by December
    21st. This is applicable for Australian Gut, Asian Gut,
    and international participants. The
    Human Microbiome Project and other microbiome projects worldwide
    have laid an important foundation for understanding the trillions of
    microbes that inhabit our bodies and their impact on health and
    disease. However, opportunities for the public to get involved in
    such research have been limited. Now, American Gut gives you an
    opportunity to join this research project and learn what’s living on
    and inside you. American Gut is a project built on the open-source, open-access
    principles of the Earth Microbiome Project. The data we collect is
    de-identified and then deposited into open repositories for the
    benefit of other researchers and scientists.  By participating in
    our project, you can help contribute to research that will help the
    world understand how the microbiome affects our health. In exchange
    for your participation, we generate a report summarizing the types
    of microbes observed in your sample, and how your sample relates to
    other people in the study. While American Gut mainly focuses on the gut as this is where
    most of our microbes reside, we will also look at areas like the
    oral and skin, as these areas of the body also contain microorganisms. The American Gut Project is a part of the Microsetta Initiative , with
    the goal of collecting microbiome samples and rich phenotypic data
    from populations across the globe. Some examples of what we have found using our data: Younger
  children tend to have more proteobacteria composing their microbiome.
   As you grow older, the diversity of your microbiome increases. (Based off our preliminary findings in 2014,
      found here ) There’s a significant difference between the types of bacteria
    found in industrialized populations vs. non-industrialized populations. McDonald et al. mSystems . May 2018. DOI: 10.1128/mSystems.00031-18 Joining is simple! Select the kit you would like from the list
    of options on the right-hand side by clicking “Claim this perk” (if
    you would like to receive a certain number of kits that isn’t listed
    as a perk, email us at info@americangut.org ) . Your kit
    will arrive via USPS within 2 weeks after payment, unless you have added the “Priority Shipping”
    perk along with your kit. If You Live in Europe: Visit our sister site, British Gut , to join. If You Live in Australia or Singapore: While we do have sites set up in Australia and Singapore (known
    as Australian Gut and Asian Gut respectively), we ask that participants contribute an additional $25 on top
    of their contribution, which covers an international shipping fee . These sites allow participants to send their samples back to a
    local site, which then sends the samples back to our lab in the U.S.
    to reduce the costs of shipping. If you live in Australia or Singapore and would like to
    participate, claim a perk.  The next page will have an option to
    ""top off"" your contribution with an additional amount,
    which you will use to add in the $25 to mark your kit to go out. I f you do not include the $25 shipping fee, your kit will not be
      sent out until we have received it. Once we have received your transaction, we will forward your
    information to our collaborators. They will then send out a kit to
    you, which you will receive within 3 weeks . Please note that the r eturn time for results will take significantly longer than the
    expected 3 months for Australian/Asian Gut participants. The reason
    is that we have to bulk ship samples on dry ice back to our lab at
    UC San Diego.  This costs thousands of dollars per shipment, so it’s
    only feasible to do once enough samples are ready to ship. If You Live Anywhere
    Else: International participants are also
    welcome to join. The $25 international shipping fee also applies (which you must include in your contribution), along with other regulations . I f you do not include the $25 shipping fee, your kit will not
      be sent out until we have received it. We also ask that samples are shipped back to our lab within 48 hours of being collected. The cost of expedited shipping to our lab in the U.S. from
    some locations can be expensive , so it is also recommended that you look into the cost of
    return shipping (we recommend using FedEx as it is more reliable). If you are interested in learning the process of our project
    from start to finish, we have a video available here . Each kit contains a sample tube (or more, if ordered), an
    instruction manual on how to register your kit and take a sample,
    credentials to access our participant website, and return
    envelope(s) to send your sample back. Your results will provide a general overview of how your microbial profile
    compares to other participants ( these results are not intended to be medically actionable,
      and we cannot provide any personalized interpretation ). You will also receive a list of the microorganisms found in
    your sample and their relative abundances (based at the genus
    level).  Results are uploaded via our participant website, which you
    will get access to once you register your kit. For stool samples, it will take about 3 months for you to receive your results, and longer for those who are
      participating outside the U.S. (due to shipping procedures to send
      samples back to our lab, which is based at the University of
      California San Diego).  It takes approximately 4-5 months to
      receive results if you submit one of the following sample types: Oral or skin samples . A desktop computer or laptop is recommended to register and log your sample into our
      participant portal website, as our participant website has
      compatibility issues on mobile devices and tablets.  The best
      browser to use when you register your kit is Google Chrome . Note that your de-identified information will be part of a
      research study and will be made available in a publicly available
      research database. That is, any personal information that might
      easily identify who you are will be removed before being placed in
      the public database. If you decide that you no longer wish to continue in this
      study, please send a request to the American Gut Project help
      account ( info@americangut.org ) to inform us of your intent to withdraw. You may request a
      refund within 50 days of your original payment if you have not yet used your kit. Please note that the Fundrazr transaction fee will be
        deducted from your refund. The consent forms are maintained on the participant website;
      details are included in your kit. To sign the consent form, you
      must agree to use an electronic format for your signature in
      accordance with the United States' eSIGN Act and California's UETA
      Act. You have the right to obtain the electronic record in a
      non-electronic form. The results you receive from submitting a sample are not
      meant to act as medical or health diagnoses . We will not be able to provide any clinical or medical
      information and recommendations from your results. If you have any questions or concerns, please email us at info@americangut.org.",https://fundrazr.com/americangut
225,Tyler's gift,U.S. Dollar,"Dec 25, 2018",of $300 goal,16,"Hi everyone, my name is Molly. I'm a college freshman currently
  living 2,000 miles away from my family. This Christmas, I'll be seeing
  them for the first time in nearly 6 very long months. I couldn't be
  more excited. Every year for Christmas, my family draws names to see which sibling
  we are getting a present for. This year I have Tyler's name. Tyler is
  6 years younger than me, currently in the midst of middle school. He's
  taller than my dad now and has been able to beat me in wrestling for
  years. He likes normal tweenage boy things like Dungeons and Dragons
  and Minecraft. He also loves to read and is a total softie
  around cats and babies. He can fix or build anything. We're betting
  he's going to be an engineer one day. He's currently a red belt in
  taekwondo. He's very emotional and gets down on himself easily when he
  messes up. He has a heart bigger than a house. He helps my mom with
  anything and everything she asks for. He likes to take care of people.
  I've seen him cry so many times when he's unintentionally hurt
  someone's feelings, or when someone says something hurtful to him.
  This kid is smart . He plays the trombone in his school band.
  He has a heart of gold . You can't get such a special kid a pack of socks and a book and call
  it Christmas, especially when you haven't seen him in 6 months. So what do you get him? I had no idea where to start, so I asked him what he wanted. His
  reply is a true testament to his sweet character: ""I want you to
  come home and take me on an adventure!"" An adventure for Christmas! Now I was left with the question of what
  would the best Christmas adventure be? Then I smiled as the idea came:
  EnChroma. I had seen the viral videos, as I'm sure you all have. Tyler
  is red-green colorblind! What better way to show this sweet brother of
  mine something totally new than give him the gift of color? I want so badly for the brilliant light display in my hometown to be
  Tyler's Christmas adventure. I want to give him at least a portion of
  the joy he's brought me in my life for being my little brother. All donations will go directly and solely into making that dream come
  true, and changing Tyler's world forever. I feel uncomfortable asking
  for something I have not earned, but Tyler has definitely earned 10
  times over a pair of EnChroma glasses. This is all for him. So for his sake, I'd like to ask you all to please donate. If
  everyone who sees this were to donate just one dollar, I'd have enough
  for Tyler's gift in minutes. I'm paying all I can, but as a struggling
  college student it's just not enough. Every little bit helps. Please
  donate for Tyler. Please share this for Tyler. I want to give him the
  adventure of a lifetime for Christmas, and all I want to get is to see
  his smile.",https://fundrazr.com/31RAK0
"18,770",HELP TO HEAL OUR SWEET ROSALINA!,,,,,"OUR SWEET AND MOST PRECIOUS FIVE YEAR OLD DAUGHTER
  ROSALINA was diagnosed last month with aggressive, high risk,
  stage IV neuroblastoma, the second most common pediatric cancer after leukemia. Testing was done and has showed that there is a massive primary
  tumour in her abdomen, which is pushing up on her pancreas, liver and
  some blood vessels, and which has spread to some of her lymph nodes,
  causing two other tumours. One is in the nodes behind her heart
  between the lungs, which we are told is inoperable, and one in her
  left clavicle. There are also ""innumerable"" smaller sites
  detected in her abdominal area. The cancerous cells have also been
  found in her bone marrow and in the bones in her thighs, upper arms
  and mid-spinal regions. We are completely devastated and life has ceased to be the
  same as it was before her diagnosis. Everything except Rosalina and
  her baby sibling, to be born any day now, has ceased to be of priority. We have been practically living at the Children's Hospital of Eastern
  Ontario since the diagnosis, and Rosalina has already received two
  cycles of chemotherapy. Her conventional treatment plan is to last a
  year and a half, and is just as aggressive as her cancer. We hope to
  counteract some of its very scary side effects with complementary
  therapies and boost her immune system as much as we can so that she
  has all that she needs to get well and stay well. WE CAN'T LET GO OF THE HOPE AND EFFORTS TO HEAL OUR SWEET ROSALINA! We will apply any feasible treatments and complementary therapies
  that we can- this is why we are raising funds for her. These
  treatments include buying Rosalina all organic foods all of the time,
  purchasing supplements of vitamins and minerals and paying for
  naturopathic therapies such as acupuncture sessions. We are also
  raising funds to help pay for travel costs. Our family sincerely thanks you for your contributions. They will all
  add up to making life easier to manage and help to HEAL OUR
    SWEETEST, MOST PRECIOUS ROSALINA . Blessings!",https://fundrazr.com/HEALROSALINA
"9,065",Empowering Recovery & Financial Relief for our Beloved Blu,Canadian Dollar,"Dec 31, 2018",of $12k goal,83,"I am a person who many of you already know had been in health crisis
  several years ago and the fear that gripped me about my future at the
  time was overwhelming.I am so grateful to have found help in many ways
  to regain all of my health and feel younger and stronger than I have
  in over ten years. It was simply because I was lucky that I stumbled
  across the natural health solutions that led me out of my own private despair. So, my friend and fellow Social Entrepreneur with Evolv Health, Judy
  Adolf,  and I have been talking for some time about using the model of
  social giving to help individuals in our community who are overwhelmed
  with a health challenge. It is through no fault of their own they have
  been buried under financial strain which only compounds their health
  issues. We decided to help people with their health in general by
  creating a Wellness focussed community MEET UP GROUP called
  ""PURPOSEFUL WELLNESS which fulfills a mandate to inspire and
  educate others about nutrition, fitness and natural healing methods
  that can help. But we also added a unique component modelling our own
  Evolv Social Business and created a fundraising platform that could
  greatly impact someone suffering with an illness or disability. Many
  face these challenges quite unexpectedly and the financial strain is
  often beyond their ability to cope. So for the first 3 months of  ""Purposeful Wellness"" we
  decided to help our mutual friend Blu Mankuma who is a well loved
  actor/ entertainer in our community currently on Kidney dialysis who
  can no longer work at his profession. He is a kind and loving soul and
  we thought who better than Blu to be our first recipient in the
  charitable program we have implemented. Our goal initially was to raise 2,000. to contribute to his meagre
  income from pensions and disability and since the campaign was so
  successful we have decided to keep going for another 2 months as we
  can see this has brought him such relief and he has a long ways to
  go.. This would to take some of the strain off him so he can buy
  healthy food , pay his rent and perhaps regain some strength through
  an immune support product that he could otherwise never afford. Blu Mankuma's Health Story- ""I'm an actor/director, singer/songwriter and producer.
    When I was in college I began noticing a little swelling around my
    ankles and when I went to the doctor and after several tests, he
    gave me salt pills and told me to keep him apprised. But he had no
    answers and for years the swelling continued. No matter how many
    tests the doctors did, they still had no answers. A few years ago I
    was having dinner, when I felt the need to throw up. On route to the
    bathroom, I lost my balance, I fell and was unable to get up which
    surprised the heck out of me!! I felt like the lady in the
    commercial who says,""help! I've fallen and I can't get up""
    That episode led me to the ICU at VGH for a while and then I was put
    on dialysis which I now do 3 times a week for 4 1/2 sessions. I'm
    unable to do much film work and find it hard to get by on pension
    and disability funds and it has been a struggle just to pay rent. However, I remain positive that one day my kidneys will return to full
    function but until then, I continue to fight the good fight! I'm
    still one of the most blessed individuals on the planet.",https://fundrazr.com/BluMankuma
"16,148",Help Mat to start his life again.,U.S. Dollar,,of $50k goal,18,"Mahathir is only 36 when he is struck with a full blown stroke that
  left him paralysed on the left side of the body on the 1st August
  2018. He is also the sole-bread winner to a family of 7. He has 4 kids
  with the youngest is at 11 months old, his wife is a homemaker and
  also an elderly loving mum. He lives in Singapore. We as a friend care deeply about his family and we are raising money
  to give him much needed funds to support his family and the treatment
  of his condition. Your donation will be utilised for medical, specialist consultations,
  travel to specialists and living expenses for his family to tide them
  over this difficult period.",https://fundrazr.com/61Q2ub
890,Please Help - Leg amputation avoided yet slow healing recovery &many sideffects,U.S. Dollar,,of $14.8k goal,24,"We need urgent help - can you reach out to us? My name is Maria del
  Rocio Garcia, and I have setup this Fundrazer page for my S/O
  (Significant Other/Fiance) Thomas Ernst.  (He is German so there is a
  summary in his language below this English text) For Mexican supporters: Find a summary in Spanish
    here - En español aqui He was hospitalized with a
  aggressive tissue decaying infection in his left leg below the knee
  December 2016 with the initial diagnoses by several doctors to
  amputate the leg above the knee. Dr. Mar Chavira at Salvatierra
  hospital in La Paz did not share that opinion and initiated treatment
  and procedures to rescue the limb and avoid an pending
  amputation. The goal of this fundraising..if met...would cover
  our medical expenses incurred so far (+/-9,500,-US $) as well the cost
  of living / debt accumulated during the time of the illness and
  recovery without any income and would supply the funding required to
  find another rental moving to a better location with option to work
  for him (+/- 5500,-US $) Please read explanation in details further
  down and in the blog we have started. Basically we are not capable on our own power to leave the
  sub-average lifestyle zone we are in right now and funding would
  provide a huge help to Thomas Ernst and me assisting to restart our
  life to a ""normal"", simple lifestyle level again. This
  is basically ""our story"" in a nutshell. Please read in
  detail below and may consider making a donation to allow T.E. to get
  back to work, to manage the significant debt accumulated from his
  battle with the infection. A donation of any kind will be greatly
  appreciated and would be a huge help. Also, please feel free to
  forward on the link to anyone you think might be interested in
  supporting the cause. Please use this contact form If you have
  any questions. Otherwise, thank you for your time and consideration of
  this effort to help Thomas Ernst and
  me. --------------------------------------------------- We
  do not have a professional background to create such fundraiser pages
  as this here in the proper way and writing. My English also has
  severe flaws and I apologize for that. It is work in progress as
  we been forced to change the fundraiser platform due to the
  circumstances that prior used crowdfund Youcaring merged with GoFundMe
  and by their policy is Mexico a Non-GoFundMe supported Country
    and they will shut down. You find info on this here You can see screenshots of received donations during the past 2
  weeks here on our blog . The prior campaign did not generate any support since put online June
  2017 until Maria and a local good Samaritan, Francisco Lopez, reached
  out at the Baja Nomads forum and made the
  situation known at the beginning of May 2018. Them folks made already
  a HUGE impact on our life. Having everyday ""real"" food
  (prior eating for weeks beans & rice or Marushan), all medical
  supplies required and having made some payments to most pressing debt
  collectors, have electricity and communication secured. All this is
  already a big relieve creating some breathing space. Also here
  you find the progress in several sets of images from December 2016 on
  until August 2017 when we had to see phone with camera used. Please be
  aware - some of this images are VERY graphical and not for everybody's
  stomach to view!!! Album - Gallery until August 2017 here on Google documents . We have genuinely tried during the past 18 month to progress yet the
  combination of advancing the healing with ambulant treatment (the
  first 6 month 2-3x per week hospital visits), the cost of medication,
  medical supplies and transportation, basic cost of living - rent,
  electricity, telefon, food was in dimensions to large to cope for us.
  Ernst Thomas has no family or relatives, Maria has a small income from
  a clerical position in a hotel working night-shifts. We have sold any valuables to create funds, we have no vehicle. Ernst
  Thomas was still recovering from the impact hurricane Norbert and
  Odile created 2014. ###################################################################### German Summary - E.T. ist jederzeit bereit mit Ihnen in Deutsch zu kommunizieren und evtl. Fragen zur
  Sachlage zu beantworten! ###################################################################### Mein Name ist Maria del Rocio Garcia, und ich habe diese
    Fundrazer-Seite für meinen Verlobten Thomas Ernst
    eingerichtet. Er wurde mit einer aggressiven
    Gewebeverfall-Infektion in seinem linken Bein unterhalb des Knies im
    Dezember 2016 ins Krankenhaus eingeliefert, wobei mehrere Ärzte
    zunächst das Bein über dem Knie amputierten wollten. Dr. Mar
    Chavira vom Salvatierra-Krankenhaus in La Paz teilte diese Meinung
    nicht und leitete eine Behandlung und Verfahren ein, um das Glied zu
    retten und eine bevorstehende Amputation zu vermeiden. Das Ziel
    dieser Spendenaktion - falls wir es erreichen koennten - wäre unsere
    bisher angefallenen Arztkosten (+/- 9.500, - US $) sowie die während
    der Zeit der Krankheit akkumulierten Lebenshaltungskosten /
    -schulden und die einkommenslose Genesungzeit zu tragen und eine
    Finanzierung bereitstellen, die benötigt wird, um eine andere
    Wohngelegenheit zu finden, die zu einem besseren Standort mit der
    Möglichkeit bewegt, für ihn zu arbeiten (+/- 5500,-US $). Grundsätzlich sind wir nicht in der Lage, die
    unterdurchschnittliche Lebenstil, in der wir uns gerade befinden,
    aus eigener Kraft zu verlassen, und die Finanzierung würde Thomas
    Ernst und mir helfen, unser Leben wieder auf ein
    ""normales"", einfaches Niveau zu bringen. Dies ist im
    Grunde genommen ""unsere Geschichte"". Bitte lesen Sie
    im Detail unten und erwägen Sie möglicherweise eine Spende, um T.E.
    um wieder an die Arbeit zu gehen, um die beträchtlichen Schulden zu
    verwalten, die sich aus seinem Kampf gegen die Infektion angesammelt
    haben. Eine Spende jeglicher Art wird sehr geschätzt und wäre
    eine große Hilfe. Bitte zögern Sie auch nicht, den Link an alle
    weiterzuleiten, von denen Sie glauben, dass sie die Sache
    unterstützen könnten. Bitte benutzen Sie dieses Kontaktformular , wenn
    Sie Fragen haben. Ansonsten danke ich Ihnen für Ihre Zeit und
    Überlegung, diese Bemühungen Thomas Ernst und mir zu helfen.",https://fundrazr.com/gofundmyleg
"3,755",I'm living my bucket list.,Canadian Dollar,,of $4k goal,34,"I'm a 56 year old wife, mother, sister, friend, an ordinary person
  and I'm choosing to live before I die. I don't want to look back and
  say I wish I would have ......... so I'm reaching out to the universe
  to help me check of my train trip off my bucket list. My family lives modestly, works hard but has no budget for play. I
  recently left my job due to health cercumstances and believe this
  bucket list project will be the boost I need to get me through this
  difficult time. I would love the opportunity to ride the rails coast to coast. I
  don't need a fancy cabin just a rail pass and the time to experience
  the almost spiritual nature of solitary travel. Thank you for your generosity and compassion. The money raised will
  go toward the train ticket and lodging. The trip will take several on,
  off connections between cities so economy lodging is a part of the cost. Without your help this would not be possible.",https://fundrazr.com/c1Oi88
"11,790",Luke Has Something to Get Off Their Chest,U.S. Dollar,,of $11.3k goal,156,"Let's be real, asking for money is no fun, even though I come at it
  with a lot of privilege. I wish I didn't have to disclose information
  about my gender dysphoria and healthcare decisions to a public
  audience. I wish I could just tell you all the other awesome places
  ways you could use your money, and most of all I wish that we didn't
  live in a culture where healthcare feels so unattainable for so many
  people. But the truth is, this is really important to me, and I think
  will make a big difference for the rest of my life. Top surgery is
  something that has felt out of the question for me for the past 14
  years due to various health issues. I now feel like it is a real
  possibility, and I feel more clear than ever that it's what I want.
  The biggest roadblock still in my way is the money. Since I'm only
  able to work part-time, I don't have much in the way of savings, or
  paid time off. So I'm here asking you for support, because raising
  money is actually way more doable than solving a lot of other problems
  in the world! And I'm so grateful and honored to have a community that
  can be part of this process with me. Here's how the estimated costs break down: $8350 - the surgery itself and hospital fees $2650 - funds to
  cover recovery supplies, lost wages and rental income for the 2-6
  weeks I’ll have to be off work and unable to rent out my guest room,
  and compensation for the people who will be caring for me and my pets
  during recovery $350 - transaction fees for this campaign Experiencing life in a body that feels like mine: priceless! Another way you can help right now: share my photography page,
  lukehirst.com. I'm using that as a way to fund this campaign, too. Thank you in advance!!",https://fundrazr.com/lukehirst
"5,230",Chris & Carol need help,U.S. Dollar,"Dec 31, 2018",of $10k goal,8,"In May of 2015 Chris had his first heart attack.  In July of 2015 he
  had his second heart attack.   I know, right? It's been slow going for Chris. He is one of the small percentage of
  folks that builds up scar tissue really fast in his stints.  He had
  another catheter procedure a few weeks ago and they were able to open
  the stints up a bit and put in two more. The doctor also changed some
  of his medications.  He has a slow release nitro medication that helps
  him a bit. In the meantime since Chris has been unable to work on a regular
  basis he made the heartbreaking decision in May of 2017 to close the
  business his grandfather started back in 1947.  Boy that was hard. We've sold just about everything we can sell to stay afloat including
  part of the land. So there ya have it.  That's were we are. If you have any questions let me know.  I'll be more than happy to
  answer them.",https://fundrazr.com/315d16
302,Help my sister to the process,U.S. Dollar,,of $2k goal,18,"Hi my friends Please donate for my sister DONATE 10$-20$-30$-40$-50$-100$ my sister who is sick for two years My sister is a cheerful little
      girl living in Gaza 10 years old suffering from vitiligo for two
      years because of my sister's fear was subjected to this disease.my
      sister need to process to recover and rest psychologically",https://fundrazr.com/11N5X9
"3,018",Telling the story of Haitians with disabilities.,Canadian Dollar,,of $5k goal,30,"I ask for your support to fund our 2nd trip to Haiti in
          November to continue this important research and documention. abilityhaiti is a collaborative international-Haitian
      project to understand and document disability in Haiti to help
      enhance the lives and reduce the suffering of the most vulnerable
      - persons with disabilities . Our two previous crowdfunding campaigns exceeded our goals
      through generous support and donations both on this site and
      off-line. The first helped get us started by funding travel,
      accommodation, security and expenses for our photographer, Scott
      Doubt, and I, this May . The 2nd is still paying for costs
      to produce and distribute content from that trip - stories, video
      interivews, photographic essays, articles, and for developing
      social media and web channels to grow awareness and encourage
      engagement. We also are so fortunate to have many professional
      volunteers who have contributed invaluable expertise to the project. Y ou can follow fresh stories and reports as
      they are produced on Facebook and Youtube . Our goal of $5,000.00 for this campaign is higher
      and more ambitious to address the additional expenses for
      including a volunteer videographer (along with a photographer) on
      our November trip. We hope that you  will also help by raising
      awareness and increasing support for abilityhaiti among your networks. It will
      take all your help to grow a larger supporter base as the project
      grows and produces more outcomes.  By investing your support from
      the beginning, you will be contributing to the sustainability of
      this continuous multi-media documentation. Life is hard in Haiti, even with incremental progress
  since the earthquake of 2010. Yet, Haitians are the most wonderful,
  resilient and proud people. Living with a disability in a developing country is
  often a brutal struggle. Yet, those I've met are among the bravest,
  most beautiful people I know. Thank you for your support.",https://fundrazr.com/619m45
"27,201",Support Chris on Her Healing Journey,U.S. Dollar,,of $60k goal,103,"How you can help: . Donate to Chris's care on Fundrazr Share this page on social media and with
      others who may be moved to help http://fnd.us/ChrisStrother?ref=sh_e7Y8Wa Join our local care community to help with meals,
      errands, and child care on Care Calendar (code: 1980) . Chris's Story Chris has been diagnosed with stage III colon cancer, a huge
    shock to us all. If anyone is a survivor, Chris Strother is the ultimate!  But we
    know that the cancer is aggressive and she must move forward
    rapidly. Chris is preparing to undergo conventional cancer treatment
    while continuing to support her overall health with a variety of
    integrative & complementary therapies. During the coming months, Chris will be unable to work at her
    normal capacity. As a single mom, she is very aware that this means
    she will need help. If you know Chris, you know that accepting this
    kind of help does not come easy for her. But, we have convinced her
    that relieving some of her financial burden will allow her to focus
    all of her energy on healing. Our goal is to raise funds to cover
    one year of medical and living expenses. We are hoping to raise funds to help her with medical co-pays;
    living expenses; integrative nutrition; ongoing expenses for her
    son, Eli; and complementary therapies that are not covered by insurance. If you are also able to help with a ride to treatment, a meal, an
  outing for Eli, or any of the many things Chris will need help with,
  please sign up on Care Calendar (code: 1980) Chris is a precious and inspiring friend to many, a true renaissance
  woman with extraordinary gifts to further bring to our world. We are
  inviting her friends, fans, and community to support her during this
  challenging time. We want her to know that we are here for her, as she
  has been for so many of us.",https://fundrazr.com/ChrisStrother
775,Baby Izekiel is fighting RSV!,U.S. Dollar,,of $5k goal,16,"I'm a friend of the family hoping to raise funds to help take the
  edge off some of the financial stresses while Mom and Dad are missing
  work to be by Baby Izekiel's side. Life doesn't stop, medical bills
  will come pouring in, mortgages don't get put on hold, but I'd love to
  help reduce the stresses of these things so Mom and Dad can focus on Izekiel. On Monday Baby Izekiel's breathing was labored and Mom rushed him to
  the local ER. They promptly transported mom and baby to Children's
  Hospital in Milwaukee to be admitted for RSV & bronchiolitis.
  During transport breathing worsened and oxygen tubes were taped on his
  face to assist with his breathing. After no progress, they needed to
  increase his oxygen levels so he was moved to the ICU with an oxygen
  mask put on his chubby cheek face. They were able to remove *some*
  mucus, but it was very little progress. Due to still not seeing progress, Baby Izekiel was sedated and
  intubated and remains in the ICU. Please pray for this sweet boy and his family while he's fighting to
  recover and *hopefully* be healthy enough to get back to the comfort
  of his own home by Christmas with Mom, Dad, big sister and brother and puppies. Any contributions will go straight to the family for the upcoming
  medical bills, and greatly appreciated. If you're unable, please share
  Baby Zeke's story♡",https://fundrazr.com/Izekiel-fundrazr.com
"7,288",Zach Branson's Medical Fundraiser,U.S. Dollar,,of $15k goal,57,"Zachary Branson was born with a liver disease known as biliary
  atresia. The main procedure that was performed is known as a Kasai
  portoenterostomy. This operation connects the bile drainage from the
  liver directly to the intestinal tract. Success of this procedure may
  be improved when it is done before an infant is 8 weeks old. The Kasai
  procedure is helpful because it permits bile to flow and can allow a
  child to grow and remain in fairly good health for many years. It is
  important to understand that this surgery is typically a treatment for
  and not cure of biliary atresia. Ongoing liver disease is likely to
  continue to occur even with a successful operation. Up to 80 percent
  of children who undergo the Kasai portoenterostomy will eventually
  need to have a liver transplant. Doctors warned that Zach would not
  live past the age of 2 years old. Now at 30 years old, Zach has
  surprised the medical community. He has gone through quite rough times
  in his life growing up with this disease. His mother passed away in
  2006 from liver and kidney failure due to alcoholism. Zach cannot work
  a ""normal"" job anymore due to complications that arise from
  this disease. He is currently in the process of fighting for
  disability. The application status is pending. We are asking to share
  this page with everyone you know. Encourage your loved ones and
  friends to become an organ and tissue donor. If you have been blessed
  enough in life to allow yourself to make a donation to this brave,
  strong young man it is greatly appreciated. All funds raised will be
  used for basic living and medical expenses for Zach in his time of
  need. All help is greatly appreciated. Thank you ALL. <3 The following is Zach's ""Facebook Group"" where he shares
  all kinds of information on natural health. The Files section is loaded with
  published, peer-reviewed journal articles. Liver and Biliary Atresia - Natural
    and Probiotic Treatments The following id the Biliary Atresia co-authored by Zach's kasai
  surgeon Dr. John R. Lilly. Dr. Lilly was one of a handful of doctors
  that were personally trained on the Kasai procedure by Dr. Mario Kasai himself. Biliary Atresia Registry 1976-1989",https://fundrazr.com/ZachBranson
510,Help me give the sight of color to my Cousin Joey.,U.S. Dollar,,of $700 goal,13,"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",https://fundrazr.com/21R8F2
740,I'm climbing Mount Everest to save Rachel's life,Australian Dollar,"Jan 7, 2019",of $15k goal,18,"My name is Jamie and I’m climbing Everest to save Rachel’s life. It’s going to be tough, but nowhere near as tough as what it must be
  like to suffer extreme pain and debilitating illness every single day;
  which is what Rachel experiences every day of her life. …. Which is why I’m doing this in her honour and to raise much-
  needed funds to save her life. Rachel Williamson is one of my sister’s closest friends and has been
  very sick with a rare nerve condition, Lymes Disease and Bells Palsy
  of the stomach for a long time now. She needs life-saving treatment in Austria but it is going to cost a
  lot of money; money that her and her single mother do not have. I NEED YOUR HELP. Please donate what you can to Rachel’s treatment and support me on
  one of the most challenging adventures of my life yet. ———————————————————————————————————— — Read more info on what the climb will entail here: I'll be completing the Everest Base Camp climb in April of next year (2019) I'm beginning the fundraiser now because Rachel's illness and pain is
  getting much worse and we need to raise funds urgently sooner rather
  than later! An Everest base camp trek is the adventure of a lifetime. The path
  begins in ancient Kathmandu, where I'll acclimate anticipate my
  ascent. My trek to Everest Base Camp at 5,364m (over 3.5 miles!) to
  the base of the world's tallest mountain will take me over suspension
  bridges spanning chasms of thin air, through hidden Buddhist
  monasteries, and into the heart of the warm, rugged Sherpa culture. It's going to be a 15 day climb with the biggest difficulty being the
  altitude and the long length of time. A lot of training is required beforehand, which I'll be commencing
  this December in preparation for April. — Read more info on Rachel’s story here: Rachel is extremely unwell. Without treatment, the prognosis is
  devastating; a slow and painful death due to her body shutting down progressively. This treatment is the last hope there is to save her life. Rachel has exhausted all avenues in Australia and has one last shot
  for treatment in Austria. Living on a Pension with her single mother means that there is no way
  she could ever afford the treatment. Thank you for your time. I'll keep you informed with Rachel's
  progress and I can’t wait to share this adventure with you all. **Pls Note: When donating, pls note there is an option to pay a
      fee to Fundrazr on top of your donation. Simply unclick the button
      and you do not have to pay the fee. It is optional.",https://fundrazr.com/Climbing-Everest-For-Rachel
